tipo,material,producto,unidad,largo_cm,ancho_cm,alto_cm,orientacion,fuente_dimension,lineas,cantidad_total,peso_kg_total,volumen_m3_total,palets_total
caja,0LT0021,CACAOLAT MINIBRIK SLIM 20CL P6 24U,CAJ,33.0,10.0,12.0,horizontal,ZM040 dimensiones directas,53,108.0,618.84,0.5184,0.6352941176470588
caja,0LT0030,LETONA DESNATADA 0% 1L VR 12U,CAJ,42.0,33.0,33.0,horizontal,ZM040 dimensiones directas,15,53.0,689.0,0.636,1.65625
caja,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,CAJ,40.0,22.0,28.0,horizontal,ZM040 dimensiones directas,858,1135.0,8853.0,6.8100000000000005,23.645833333333332
caja,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",CAJ,39.0,30.0,20.0,horizontal,ZM040 dimensiones directas,1465,6410.0,57690.0,57.69,80.125
caja,0LT0034,"LETONA SEMI ESPEC HOSTELERIA PET 1,5L 6U",CAJ,39.0,30.0,20.0,horizontal,ZM040 dimensiones directas,365,1885.0,16965.0,16.965,23.5625
caja,0LT0035,"LETONA DESNATADA 0% HOST 1,5L PET 6U",CAJ,39.0,30.0,20.0,horizontal,ZM040 dimensiones directas,94,128.0,1152.0,1.152,1.6
caja,0LT0036,CACAOLAT VIDRIO 20CL SR 24U,CAJ,33.0,10.0,12.0,horizontal,ZM040 dimensiones directas,94,127.0,838.1999999999999,0.6095999999999999,1.5119047619047619
caja,0LT0042,ATO SEMI SIN LACTOSA BRIK 1L 6U,CAJ,29.0,13.0,20.0,horizontal,ZM040 dimensiones directas,14,19.0,0.0,0.114,0.13194444444444445
caja,0LT0090,LETONA SEMI SIN LACTOSA 1L PET 6U,CAJ,29.0,13.0,20.0,horizontal,ZM040 dimensiones directas,450,565.0,3672.5,3.39,5.380952380952381
caja,0LT0091,LETONA SEMI ESP.HOST.1L VR 12U,CAJ,42.0,22.0,33.0,horizontal,ZM040 dimensiones directas,19,47.0,564.0,0.014334999999999999,1.46875
caja,0LT0093,ATO DESNATADA SIN LACTOSA 1L 6U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,5,7.0,45.57,0.042,0.04666666666666667
caja,0LT0100,YOSOY SOJA 1L BRIK 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,6,6.0,38.400000000000006,0.036000000000000004,0.048
caja,0LT0101,YOSOY ARROZ 1L BRIK 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,1,1.0,6.54,0.006,0.006666666666666667
caja,0LT0103,YOSOY AVENA BARISTA 1L BRIK 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,279,549.0,3590.46,3.294,4.392
caja,0LT0234,LA LEVANTINA SOJA ESPECIAL HOST 1L 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,66,67.0,428.8,0.402,0.5583333333333333
caja,0LT0235,LA LEVANTINA AVENA ESP.HOST 1L 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,587,854.0,5551.0,5.1240000000000006,7.116666666666666
caja,0LT0292,YOSOY ARROZ+COCO 1L BRIK 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,14,24.0,0.0,0.14400000000000002,0.192
caja,0LT0412,"CACAOLAT ORIGINAL 27,5CL PET 24U",CAJ,33.0,19.0,22.0,horizontal,ZM040 dimensiones directas,292,483.0,3501.75,3.1878,5.488636363636363
caja,0LT0437,YOSOY SOJA S/GLUTEN BARISTA 1L BRIK 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,5,5.0,0.0,0.03,0.04
caja,0LT0520,LETONA UHT BRIK DESNATADA 1L 6U,CAJ,29.0,13.0,20.0,horizontal,ZM040 dimensiones directas,6,8.0,52.0,0.048,0.06153846153846154
caja,0LT0528,LA LEVANTINA ALMENDRA ESP. HOST 1L 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,12,16.0,104.0,0.096,0.13333333333333333
caja,0LT0534,YOSOY BEBIDA ARROZ+AVELLANAS 1L 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,1,1.0,6.4,0.006,0.005
caja,0LT0535,YOSOY BARISTA BEBIDA ALMENDRA 1L 6U,CAJ,18.8,12.0,20.2,horizontal,ZM040 dimensiones directas,1,2.0,12.8,0.012,0.01
caja,0RF0004,"GEISER SIFON  1,5 L. 6U",CAJ,13.0,12.0,10.0,horizontal,ZM040 dimensiones directas,7,10.0,95.0,0.09,0.15625
caja,0RF0006,FUENTPINOS GASEOSA 50CL RET 20U ,CAJ,44.0,36.0,23.0,horizontal,ZM040 dimensiones directas,63,82.0,0.0,0.8200000000000001,2.2777777777777777
caja,0RF0012,FUENTPINOS GASEOSA  500 PET 12U,CAJ,25.0,19.0,24.0,horizontal,ZM040 dimensiones directas,134,401.0,2406.0,4.01,3.712962962962963
caja,0RF0014,ZALA GASEOSA 50CL VID. RET 20U,CAJ,50.0,40.0,25.0,horizontal,ZM040 dimensiones directas,77,158.0,0.0,1.8960000000000001,5.266666666666667
caja,0RF0018,/-COCA COLA ZERO 2L PET 6U,CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,18,40.0,539.2,0.48,0.625
caja,0RF0109,/-BITTER KAS 200 SR 24U,CAJ,43.0,30.0,25.0,horizontal,ZM040 dimensiones directas,122,131.0,786.0,0.6287999999999999,1.5595238095238095
caja,0RF0200,"/-COCA COLA ZERO VR 23,7 24U",CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,27,34.0,598.4000000000001,0.19346000000000002,0.7083333333333333
caja,0RF0260,/-TRINA NARANJA ZERO 250 S/R 24U,CAJ,37.0,25.0,19.0,horizontal,ZM040 dimensiones directas,5,5.0,56.3,0.023999999999999997,0.07142857142857142
caja,0RF0287,/-COCA COLA VR237 24U,CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,163,278.0,1779.2,7.021168,5.791666666666666
caja,0RF0292,/-FANTA NARANJA VR237 24U,CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,5,5.0,75.0,0.023999999999999997,0.10416666666666666
caja,0RF0293,/-FANTA LIMON VR237 24U,CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,8,9.0,135.0,0.043199999999999995,0.1875
caja,0RF0332,ZALA GASEOSA 50CL S/R 12U,CAJ,27.0,17.0,24.0,horizontal,ZM040 dimensiones directas,9,75.0,0.0,0.45,0.6944444444444444
caja,0RF0423,/-SPRITE VR20 24U,CAJ,41.0,28.0,22.0,horizontal,ZM040 dimensiones directas,3,3.0,42.0,0.075768,0.0625
caja,0RF0489,SCHWEPPES TONICA 20CL SR 24U,CAJ,32.0,18.0,18.0,horizontal,ZM040 dimensiones directas,90,103.0,721.0,1.067904,1.226190476190476
caja,0RF0491,SCHWEPPES LIMON 20CL SR 24U,CAJ,33.0,27.0,24.0,horizontal,ZM040 dimensiones directas,6,6.0,30.0,0.001284,0.07142857142857142
caja,0RF1074,RED BULL COCO Y ARANDANOS LT 25CL 24U,CAJ,32.0,22.0,14.0,horizontal,ZM040 dimensiones directas,5,5.0,0.0,0.03,0.07575757575757576
caja,0RF1709,RED BULL SPRING WOODRGRAPE 25CL 24U,CAJ,33.0,22.0,14.0,horizontal,ZM040 dimensiones directas,1,1.0,6.816,0.006,0.009259259259259259
caja,0VE0093,FORTIUS ROSADO 75CL 6U,CAJ,25.0,32.0,28.0,horizontal,ZM040 dimensiones directas,9,49.0,245.0,0.22049999999999997,0.4083333333333333
caja,0VE0106,PORTIA ROBLE 75CL 6U,CAJ,25.0,32.0,28.0,horizontal,ZM040 dimensiones directas,5,6.0,45.0,0.026999999999999996,0.048
caja,0VE0197,MONTERIO BLANCO S.R. 75CL 12U,CAJ,31.0,24.0,31.0,horizontal,ZM040 dimensiones directas,3,4.0,36.0,0.03604,0.06666666666666667
caja,0VE0198,MONTERIO TINTO S.R. 75CL 12U,CAJ,31.0,23.0,31.0,horizontal,ZM040 dimensiones directas,20,34.0,306.0,0.30634,0.5666666666666667
caja,0VE0398,PORTIA PRIMA 75CL 6U,CAJ,25.0,32.0,28.0,horizontal,ZM040 dimensiones directas,1,1.0,7.5,0.00901,0.008
caja,0VE0403,MARQUES VITORIA CRIANZA 75CL 6U,CAJ,25.0,32.0,28.0,horizontal,ZM040 dimensiones directas,1,1.0,5.2,0.0045,0.008695652173913044
caja,0VE0503,VINYA DEL JEP TINTO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,11,53.0,238.5,0.2385,0.424
caja,0VE0504,VINYA DEL JEP BLANCO 75CL 6U,CAJ,33.0,24.0,29.0,horizontal,ZM040 dimensiones directas,4,12.0,54.0,0.054,0.096
